Current Depth: -10, Current Depth Rate: 0.0, Thrust in z direction: -9.6, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.163317405278669, Current Depth Rate: -1.654472181139726, Thrust in z direction: -7.637546020694412, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.167453585731518, Current Depth Rate: -1.673566046191462, Thrust in z direction: -7.591720744570245, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.171637500846996, Current Depth Rate: -1.6925453480528878, Thrust in z direction: -7.591720744570245, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.17586886421713, Current Depth Rate: -1.7115246499143135, Thrust in z direction: -7.37733631045438, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.180147675841916, Current Depth Rate: -1.7299679906904495, Thrust in z direction: -7.37733631045438, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.184472595818642, Current Depth Rate: -1.7484113314665854, Thrust in z direction: -7.333072292591653, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.188843624147308, Current Depth Rate: -1.7667440121980647, Thrust in z direction: -7.333072292591653, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.193260484177804, Current Depth Rate: -1.7850766929295439, Thrust in z direction: -7.289073858836103, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.197723175910127, Current Depth Rate: -1.8032993775766342, Thrust in z direction: -7.289073858836103, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.20223142435407, Current Depth Rate: -1.8215220622237245, Thrust in z direction: -7.245339415683086, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.206785229509629, Current Depth Rate: -1.8396354107629322, Thrust in z direction: -7.245339415683086, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.211384318036536, Current Depth Rate: -1.85774875930214, Thrust in z direction: -7.201867379188988, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.216028689934792, Current Depth Rate: -1.8757534277501124, Thrust in z direction: -7.201867379188988, desired depth: -20, desired depth rate: -7.859304908626297
